PPG,HI,HR,HR_A,PI,PI_A
2727,814,73,70,4.06,3.98
2703,814,73,70,4.06,3.98
2679,814,73,70,4.06,3.98
2653,814,73,70,4.06,3.98
2632,814,73,70,4.06,3.98
2613,814,73,70,4.06,3.98
2595,814,73,70,4.06,3.98
2577,814,73,70,4.06,3.98
2560,814,73,70,4.06,3.98
2545,814,73,70,4.06,3.98
2532,814,73,70,4.06,3.98
2518,814,73,70,4.06,3.98
2506,814,73,70,4.06,3.98
2494,814,73,70,4.06,3.98
2481,814,73,70,4.06,3.98
2469,814,73,70,4.06,3.98
2457,814,73,70,4.06,3.98
2443,814,73,70,4.06,3.98
2430,814,73,70,4.06,3.98
2416,814,73,70,4.06,3.98
2402,814,73,70,4.06,3.98
2387,814,73,70,4.06,3.98
2372,814,73,70,4.06,3.98
2356,814,73,70,4.06,3.98
2340,814,73,70,4.06,3.98
2323,814,73,70,4.06,3.98
2307,814,73,70,4.42,3.98
2290,814,73,70,4.42,3.98
2274,814,73,70,4.42,3.98
2259,814,73,70,4.42,4.07
2245,814,73,70,4.42,4.07
2231,814,73,70,4.42,4.07
2218,814,73,70,4.42,4.07
2206,814,73,70,4.42,4.07
2196,814,73,70,4.42,4.07
2187,814,73,70,4.42,4.07
2179,814,73,70,4.42,4.07
2172,814,73,70,4.42,4.07
2167,814,73,70,4.42,4.07
2163,814,73,70,4.42,4.07
2161,814,73,70,4.42,4.07
2159,814,73,70,4.42,4.07
2157,814,73,70,4.42,4.07
2156,814,73,70,4.42,4.07
2155,814,73,70,4.42,4.07
2156,814,73,70,4.42,4.07
2157,814,73,70,4.42,4.07
2157,814,73,70,4.42,4.07
2158,814,73,70,4.42,4.07
2158,814,73,70,4.42,4.07
2159,814,73,70,4.42,4.07
2159,814,73,70,4.42,4.07
2158,814,73,70,4.42,4.07
2156,814,73,70,4.42,4.07
2155,814,73,70,4.42,4.07
2152,814,73,70,4.42,4.07
2150,814,73,70,4.42,4.07
2146,814,73,70,4.42,4.07
2142,814,73,70,4.42,4.07
2137,814,73,70,4.42,4.07
2131,814,73,70,4.42,4.07
2125,814,73,70,4.42,4.07
2118,814,73,70,4.42,4.07
2110,814,73,70,4.42,4.07
2101,814,73,70,4.42,4.07
2091,814,73,70,4.42,4.07
2082,814,73,70,4.42,4.07
2071,814,73,70,4.42,4.07
2060,814,73,70,4.42,4.07
2049,814,73,70,4.42,4.07
2037,814,73,70,4.42,4.07
2026,814,73,70,4.42,4.07
2015,814,73,70,4.42,4.07
2001,814,73,70,4.42,4.07
1990,814,73,70,4.42,4.07
1979,814,73,70,4.42,4.07
1968,814,73,70,4.42,4.07
1958,814,73,70,4.42,4.07
1948,814,73,70,4.42,4.07
1937,814,73,70,4.42,4.07
1929,814,73,70,4.42,4.07
1919,814,73,70,4.42,4.07
1910,814,73,70,4.42,4.07
1902,814,73,70,4.42,4.07
1893,814,73,70,4.42,4.07
1885,814,73,70,4.42,4.07
1877,814,73,70,4.42,4.07
1869,814,73,70,4.42,4.07
1862,814,73,70,4.42,4.07
1855,814,73,70,4.42,4.07
1849,814,73,70,4.42,4.07
1843,814,73,70,4.42,4.07
1837,814,73,70,4.42,4.07
1831,814,73,70,4.42,4.07
1827,814,73,70,4.42,4.07
1822,814,73,70,4.42,4.07
1818,814,73,70,4.42,4.07
1814,814,73,70,4.42,4.07
1810,814,73,70,4.42,4.07
1806,814,73,70,4.42,4.07
1803,814,73,70,4.42,4.07
1801,814,73,70,4.42,4.07
1799,814,73,70,4.42,4.07
1796,814,73,70,4.42,4.07
1793,814,73,70,4.42,4.07
1792,814,73,70,4.42,4.07
1789,814,73,70,4.42,4.07
1786,814,73,70,4.42,4.07
1785,814,73,70,4.42,4.07
1782,814,73,70,4.42,4.07
1779,814,73,70,4.42,4.07
1777,814,73,70,4.42,4.07
1775,814,73,70,4.42,4.07
1773,814,73,70,4.42,4.07
1771,814,73,70,4.42,4.07
1768,814,73,70,4.42,4.07
1766,814,73,70,4.42,4.07
1765,814,73,70,4.42,4.07
1763,814,73,70,4.42,4.07
1761,814,73,70,4.42,4.07
1759,814,73,70,4.42,4.07
1757,814,73,70,4.42,4.07
1756,814,73,70,4.42,4.07
1754,814,73,70,4.42,4.07
1752,814,73,70,4.42,4.07
1751,814,73,70,4.42,4.07
1748,814,73,70,4.42,4.07
1747,814,73,70,4.42,4.07
1746,814,73,70,4.42,4.07
1743,814,73,70,4.42,4.07
1742,814,73,70,4.42,4.07
1741,814,73,70,4.42,4.07
1739,814,73,70,4.42,4.07
1737,814,73,70,4.42,4.07
1735,814,73,70,4.42,4.07
1732,814,73,70,4.42,4.07
1730,814,73,70,4.42,4.07
1728,814,73,70,4.42,4.07
1726,814,73,70,4.42,4.07
1725,814,73,70,4.42,4.07
1723,814,73,70,4.42,4.07
1722,814,73,70,4.42,4.07
1722,814,73,70,4.42,4.07
1720,814,73,70,4.42,4.07
1718,814,73,70,4.42,4.07
1717,814,73,70,4.42,4.07
1716,814,73,70,4.42,4.07
1714,814,73,70,4.42,4.07
1713,814,73,70,4.42,4.07
1710,814,73,70,4.42,4.07
1708,814,73,70,4.42,4.07
1705,814,73,70,4.42,4.07
1703,814,73,70,4.42,4.07
1699,814,73,70,4.42,4.07
1696,814,73,70,4.42,4.07
1693,814,73,70,4.42,4.07
1690,814,73,70,4.42,4.07
1687,814,73,70,4.42,4.07
1683,814,73,70,4.42,4.07
1680,814,73,70,4.42,4.07
1677,814,73,70,4.42,4.07
1674,814,73,70,4.42,4.07
1672,814,73,70,4.42,4.07
1671,814,73,70,4.42,4.07
1670,814,73,70,4.42,4.07
1670,814,73,70,4.42,4.07
1670,814,73,70,4.42,4.07
1674,814,73,70,4.42,4.07
1678,814,73,70,4.42,4.07
1686,814,73,70,4.42,4.07
1695,814,73,70,4.42,4.07
1709,814,73,70,4.42,4.07
1725,814,73,70,4.42,4.07
1748,814,73,70,4.42,4.07
1774,814,73,70,4.42,4.07
1803,814,73,70,4.42,4.07
1840,814,73,70,4.42,4.07
1881,814,73,70,4.42,4.07
1927,814,73,70,4.42,4.07
1976,814,73,70,4.42,4.07
2030,814,73,70,4.42,4.07
2085,814,73,70,4.42,4.07
2144,814,73,70,4.42,4.07
2206,814,73,70,4.42,4.07
2267,814,73,70,4.42,4.07
2329,814,73,70,4.42,4.07
2393,814,73,70,4.42,4.07
2453,814,73,70,4.42,4.07
2512,814,73,70,4.42,4.07
2568,814,73,70,4.42,4.07
2622,814,73,70,4.42,4.07
2671,814,73,70,4.42,4.07
2716,827,73,70,4.42,4.07
2756,827,73,70,4.42,4.07
2807,827,73,70,4.42,4.07
2841,827,73,70,4.42,4.07
2864,827,73,70,4.42,4.07
2881,827,73,70,4.42,4.07
2892,827,73,70,4.42,4.07
2900,827,73,70,4.42,4.07
2902,827,73,70,4.42,4.07
2901,827,73,70,4.42,4.07
2896,827,73,70,4.42,4.07
2886,827,73,70,4.42,4.07
2874,827,73,70,4.42,4.07
2860,827,73,70,4.42,4.07
2841,827,73,70,4.42,4.07
2822,827,73,70,4.42,4.07
2802,827,73,70,4.42,4.07
2779,827,73,70,4.42,4.07
2757,827,73,70,4.42,4.07
2734,827,73,70,4.42,4.07
2711,827,73,70,4.42,4.07
2688,827,73,70,4.42,4.07
2664,827,73,70,4.42,4.07
2642,827,73,70,4.42,4.07
2621,827,71,70,4.42,4.07
2599,827,71,70,4.42,4.07
2580,827,71,70,4.42,4.07
2561,827,71,71,4.42,4.07
2543,827,71,71,4.42,4.07
2526,827,71,71,4.42,4.07
2510,827,71,71,4.42,4.07
2496,827,71,71,4.42,4.07
2481,827,71,71,4.42,4.07
2468,827,71,71,4.42,4.07
2456,827,71,71,4.42,4.07
2444,827,71,71,4.42,4.07
2431,827,71,71,4.42,4.07
2420,827,71,71,4.42,4.07
2408,827,71,71,4.42,4.07
2394,827,71,71,4.42,4.07
2381,827,71,71,4.42,4.07
2367,827,71,71,4.42,4.07
2352,827,71,71,4.42,4.07
2337,827,71,71,4.42,4.07
2321,827,71,71,4.42,4.07
2305,827,71,71,4.42,4.07
2289,827,71,71,4.42,4.07
2272,827,71,71,4.42,4.07
2257,827,71,71,4.42,4.07
2242,827,71,71,4.42,4.07
2227,827,71,71,4.42,4.07
2213,827,71,71,4.42,4.07
2199,827,71,71,4.42,4.07
2186,827,71,71,4.42,4.07
2175,827,71,71,4.42,4.07
2165,827,71,71,4.42,4.07
2155,827,71,71,4.42,4.07
2147,827,71,71,4.42,4.07
2141,827,71,71,4.42,4.07
2135,827,71,71,4.42,4.07
2130,827,71,71,4.42,4.07
2127,827,71,71,4.42,4.07
2124,827,71,71,4.42,4.07
2123,827,71,71,4.42,4.07
2123,827,71,71,4.42,4.07
2123,827,71,71,4.42,4.07
2123,827,71,71,4.42,4.07
2125,827,71,71,4.42,4.07
2124,827,71,71,4.42,4.07
2126,827,71,71,4.42,4.07
2127,827,71,71,4.42,4.07
2128,827,71,71,4.42,4.07
2128,827,71,71,4.42,4.07
2129,827,71,71,4.42,4.07
2127,827,71,71,4.42,4.07
2127,827,71,71,4.42,4.07
2126,827,71,71,4.42,4.07
2123,827,71,71,4.42,4.07
2120,827,71,71,4.42,4.07
2117,827,71,71,4.42,4.07
2113,827,71,71,4.42,4.07
2109,827,71,71,4.42,4.07
2103,827,71,71,4.42,4.07
2098,827,71,71,4.42,4.07
2091,827,71,71,4.42,4.07
2084,827,71,71,4.42,4.07
2076,827,71,71,4.42,4.07
2068,827,71,71,4.42,4.07
2059,827,71,71,4.42,4.07
2048,827,71,71,4.42,4.07
2039,827,71,71,4.19,4.07
2029,827,71,71,4.19,4.07
2018,827,71,71,4.19,4.07
2008,827,71,71,4.19,4.13
1996,827,71,71,4.19,4.13
1986,827,71,71,4.19,4.13
1975,827,71,71,4.19,4.13
1965,827,71,71,4.19,4.13
1954,827,71,71,4.19,4.13
1943,827,71,71,4.19,4.13
1934,827,71,71,4.19,4.13
1923,827,71,71,4.19,4.13
1914,827,71,71,4.19,4.13
1905,827,71,71,4.19,4.13
1897,827,71,71,4.19,4.13
1891,827,71,71,4.19,4.13
1883,827,71,71,4.19,4.13
1877,827,71,71,4.19,4.13
1871,827,71,71,4.19,4.13
1865,827,71,71,4.19,4.13
1858,827,71,71,4.19,4.13
1852,827,71,71,4.19,4.13
1847,827,71,71,4.19,4.13
1842,827,71,71,4.19,4.13
1837,827,71,71,4.19,4.13
1833,827,71,71,4.19,4.13
1827,827,71,71,4.19,4.13
1824,827,71,71,4.19,4.13
1819,827,71,71,4.19,4.13
1816,827,71,71,4.19,4.13
1811,827,71,71,4.19,4.13
1808,827,71,71,4.19,4.13
1804,827,71,71,4.19,4.13
1800,827,71,71,4.19,4.13
1797,827,71,71,4.19,4.13
1793,827,71,71,4.19,4.13
1790,827,71,71,4.19,4.13
1787,827,71,71,4.19,4.13
1784,827,71,71,4.19,4.13
1782,827,71,71,4.19,4.13
1779,827,71,71,4.19,4.13
1778,827,71,71,4.19,4.13
1776,827,71,71,4.19,4.13
1775,827,71,71,4.19,4.13
1774,827,71,71,4.19,4.13
1772,827,71,71,4.19,4.13
1772,827,71,71,4.19,4.13
1770,827,71,71,4.19,4.13
1769,827,71,71,4.19,4.13
1768,827,71,71,4.19,4.13
1767,827,71,71,4.19,4.13
1767,827,71,71,4.19,4.13
1765,827,71,71,4.19,4.13
1763,827,71,71,4.19,4.13
1762,827,71,71,4.19,4.13
1761,827,71,71,4.19,4.13
1761,827,71,71,4.19,4.13
1760,827,71,71,4.19,4.13
1760,827,71,71,4.19,4.13
1758,827,71,71,4.19,4.13
1756,827,71,71,4.19,4.13
1754,827,71,71,4.19,4.13
1754,827,71,71,4.19,4.13
1752,827,71,71,4.19,4.13
1750,827,71,71,4.19,4.13
1748,827,71,71,4.19,4.13
1746,827,71,71,4.19,4.13
1744,827,71,71,4.19,4.13
1741,827,71,71,4.19,4.13
1738,827,71,71,4.19,4.13
1736,827,71,71,4.19,4.13
1734,827,71,71,4.19,4.13
1731,827,71,71,4.19,4.13
1728,827,71,71,4.19,4.13
1726,827,71,71,4.19,4.13
1723,827,71,71,4.19,4.13
1720,827,71,71,4.19,4.13
1718,827,71,71,4.19,4.13
1717,827,71,71,4.19,4.13
1714,827,71,71,4.19,4.13
1713,827,71,71,4.19,4.13
1711,827,71,71,4.19,4.13
1710,827,71,71,4.19,4.13
1709,827,71,71,4.19,4.13
1707,827,71,71,4.19,4.13
1705,827,71,71,4.19,4.13
1702,827,71,71,4.19,4.13
1699,827,71,71,4.19,4.13
1696,827,71,71,4.19,4.13
1693,827,71,71,4.19,4.13
1689,827,71,71,4.19,4.13
1686,827,71,71,4.19,4.13
1683,827,71,71,4.19,4.13
1680,827,71,71,4.19,4.13
1677,827,71,71,4.19,4.13
1674,827,71,71,4.19,4.13
1671,827,71,71,4.19,4.13
1669,827,71,71,4.19,4.13
1666,827,71,71,4.19,4.13
1667,827,71,71,4.19,4.13
1666,827,71,71,4.19,4.13
1667,827,71,71,4.19,4.13
1669,827,71,71,4.19,4.13
1673,827,71,71,4.19,4.13
1678,827,71,71,4.19,4.13
1687,827,71,71,4.19,4.13
1698,827,71,71,4.19,4.13
1715,827,71,71,4.19,4.13
1734,827,71,71,4.19,4.13
1757,827,71,71,4.19,4.13
1785,827,71,71,4.19,4.13
1817,827,71,71,4.19,4.13
1855,827,71,71,4.19,4.13
1898,827,71,71,4.19,4.13
1944,827,71,71,4.19,4.13
1993,827,71,71,4.19,4.13
2047,827,71,71,4.19,4.13
2104,827,71,71,4.19,4.13
2162,827,71,71,4.19,4.13
2222,827,71,71,4.19,4.13
2283,827,71,71,4.19,4.13
2343,827,71,71,4.19,4.13
2402,827,71,71,4.19,4.13
2459,827,71,71,4.19,4.13
2515,827,71,71,4.19,4.13
2568,827,71,71,4.19,4.13
2617,827,71,71,4.19,4.13
2660,827,71,71,4.19,4.13
2702,842,71,71,4.19,4.13
2738,842,71,71,4.19,4.13
2783,842,71,71,4.19,4.13
2812,842,71,71,4.19,4.13
2829,842,71,71,4.19,4.13
2842,842,71,71,4.19,4.13
2849,842,71,71,4.19,4.13
2852,842,71,71,4.19,4.13
2850,842,71,71,4.19,4.13
2846,842,71,71,4.19,4.13
2837,842,71,71,4.19,4.13
2825,842,71,71,4.19,4.13
2810,842,71,71,4.19,4.13
2792,842,71,71,4.19,4.13
2771,842,71,71,4.19,4.13
2749,842,71,71,4.19,4.13
2727,842,71,71,4.19,4.13
2704,842,71,71,4.19,4.13
2680,842,71,71,4.19,4.13
2654,842,71,71,4.19,4.13
2631,842,71,71,4.19,4.13
2607,842,71,71,4.19,4.13
2583,842,71,71,4.19,4.13
2560,842,71,71,4.19,4.13
2539,842,71,71,4.19,4.13
2517,842,71,71,4.19,4.13
2498,842,71,71,4.19,4.13
2479,842,71,71,4.19,4.13
2462,842,71,71,4.19,4.13
2444,842,71,71,4.19,4.13
2428,842,70,71,4.19,4.13
2414,842,70,71,4.19,4.13
2399,842,70,71,4.19,4.13
2386,842,70,71,4.19,4.13
2371,842,70,71,4.19,4.13
2359,842,70,71,4.19,4.13
2346,842,70,71,4.19,4.13
2332,842,70,71,4.19,4.13
2318,842,70,71,4.19,4.13
2304,842,70,71,4.19,4.13
2289,842,70,71,4.19,4.13
2276,842,70,71,4.19,4.13
2259,842,70,71,4.19,4.13
2245,842,70,71,4.19,4.13
2230,842,70,71,4.19,4.13
2215,842,70,71,4.19,4.13
2202,842,70,71,4.19,4.13
2188,842,70,71,4.19,4.13
2177,842,70,71,4.19,4.13
2165,842,70,71,4.19,4.13
2156,842,70,71,4.19,4.13
2145,842,70,71,4.19,4.13
2138,842,70,71,4.19,4.13
2132,842,70,71,4.19,4.13
2127,842,70,71,4.19,4.13
2123,842,70,71,4.19,4.13
2120,842,70,71,4.19,4.13
2117,842,70,71,4.19,4.13
2117,842,70,71,4.19,4.13
2116,842,70,71,4.19,4.13
2116,842,70,71,4.19,4.13
2118,842,70,71,4.19,4.13
2119,842,70,71,4.19,4.13
2121,842,70,71,4.19,4.13
2123,842,70,71,4.19,4.13
2125,842,70,71,4.19,4.13
2128,842,70,71,4.19,4.13
2130,842,70,71,4.19,4.13
2133,842,70,71,4.19,4.13
2135,842,70,71,4.19,4.13
2136,842,70,71,4.19,4.13
2139,842,70,71,4.19,4.13
2139,842,70,71,4.19,4.13
2140,842,70,71,4.19,4.13
2139,842,70,71,4.19,4.13
2138,842,70,71,4.19,4.13
2137,842,70,71,4.19,4.13
2134,842,70,71,4.19,4.13
2131,842,70,71,4.19,4.13
2128,842,70,71,4.19,4.13
2124,842,70,71,4.19,4.13
2119,842,70,71,4.19,4.13
2114,842,70,71,4.19,4.13
2108,842,70,71,4.19,4.13
2102,842,70,71,4.19,4.13
2094,842,70,71,4.19,4.13
2087,842,70,71,4.19,4.13
2079,842,70,71,4.19,4.13
2070,842,70,71,4.19,4.13
2061,842,70,71,4.19,4.13
2051,842,70,71,4.19,4.13
2041,842,70,71,4.19,4.13
2032,842,70,71,4.19,4.13
2022,842,70,71,4.19,4.13
2014,842,70,71,4.19,4.13
2006,842,70,71,4.19,4.13
1997,842,70,71,4.19,4.13
1990,842,70,71,4.19,4.13
1984,842,70,71,4.19,4.13
1977,842,70,71,4.19,4.13
1973,842,70,71,4.19,4.13
1968,842,70,71,4.19,4.13
1963,842,70,71,4.19,4.13
1960,842,70,71,4.19,4.13
1956,842,70,71,4.19,4.13
1954,842,70,71,4.19,4.13
1950,842,70,71,4.19,4.13
1947,842,70,71,4.19,4.13
1944,842,70,71,4.19,4.13
1942,842,70,71,4.19,4.13
1939,842,70,71,4.19,4.13
1938,842,70,71,4.19,4.13
1936,842,70,71,4.19,4.13
1935,842,70,71,4.19,4.13
1932,842,70,71,4.19,4.13
1931,842,70,71,4.19,4.13
1929,842,70,71,4.19,4.13
1927,842,70,71,4.19,4.13
1925,842,70,71,4.19,4.13
1923,842,70,71,4.19,4.13
1920,842,70,71,4.19,4.13
1919,842,70,71,4.19,4.13
1918,842,70,71,4.19,4.13
1916,842,70,71,4.19,4.13
1915,842,70,71,4.19,4.13
1915,842,70,71,4.19,4.13
1914,842,70,71,4.19,4.13
1913,842,70,71,4.19,4.13
1913,842,70,71,4.04,4.13
1912,842,70,71,4.04,4.13
1913,842,70,71,4.04,4.13
1912,842,70,71,4.04,4.16
1912,842,70,71,4.04,4.16
1912,842,70,71,4.04,4.16
1912,842,70,71,4.04,4.16
1912,842,70,71,4.04,4.16
1911,842,70,71,4.04,4.16
1911,842,70,71,4.04,4.16
1911,842,70,71,4.04,4.16
1911,842,70,71,4.04,4.16
1909,842,70,71,4.04,4.16
1909,842,70,71,4.04,4.16
1908,842,70,71,4.04,4.16
1907,842,70,71,4.04,4.16
1905,842,70,71,4.04,4.16
1905,842,70,71,4.04,4.16
1903,842,70,71,4.04,4.16
1902,842,70,71,4.04,4.16
1900,842,70,71,4.04,4.16
1899,842,70,71,4.04,4.16
1897,842,70,71,4.04,4.16
1896,842,70,71,4.04,4.16
1894,842,70,71,4.04,4.16
1892,842,70,71,4.04,4.16
1890,842,70,71,4.04,4.16
1888,842,70,71,4.04,4.16
1886,842,70,71,4.04,4.16
1883,842,70,71,4.04,4.16
1880,842,70,71,4.04,4.16
1877,842,70,71,4.04,4.16
1875,842,70,71,4.04,4.16
1872,842,70,71,4.04,4.16
1872,842,70,71,4.04,4.16
1871,842,70,71,4.04,4.16
1872,842,70,71,4.04,4.16
1872,842,70,71,4.04,4.16
1874,842,70,71,4.04,4.16
1877,842,70,71,4.04,4.16
1879,842,70,71,4.04,4.16
1882,842,70,71,4.04,4.16
1887,842,70,71,4.04,4.16
1890,842,70,71,4.04,4.16
1895,842,70,71,4.04,4.16
1900,842,70,71,4.04,4.16
1906,842,70,71,4.04,4.16
1914,842,70,71,4.04,4.16
1924,842,70,71,4.04,4.16
1937,842,70,71,4.04,4.16
1952,842,70,71,4.04,4.16
1971,842,70,71,4.04,4.16
1994,842,70,71,4.04,4.16
2021,842,70,71,4.04,4.16
2052,842,70,71,4.04,4.16
2087,842,70,71,4.04,4.16
2126,842,70,71,4.04,4.16
2168,842,70,71,4.04,4.16
2214,842,70,71,4.04,4.16
2262,842,70,71,4.04,4.16
2312,842,70,71,4.04,4.16
2364,842,70,71,4.04,4.16
2416,842,70,71,4.04,4.16
2468,842,70,71,4.04,4.16
2519,842,70,71,4.04,4.16
2570,842,70,71,4.04,4.16
2618,842,70,71,4.04,4.16
2664,842,70,71,4.04,4.16
2706,842,70,71,4.04,4.16
2745,842,70,71,4.04,4.16
2781,769,70,71,4.04,4.16
2813,769,70,71,4.04,4.16
2851,769,70,71,4.04,4.16
2877,769,70,71,4.04,4.16
2892,769,70,71,4.04,4.16
2904,769,70,71,4.04,4.16
2912,769,70,71,4.04,4.16
2917,769,70,71,4.04,4.16
2917,769,70,71,4.04,4.16
2914,769,70,71,4.04,4.16
2908,769,70,71,4.04,4.16
2899,769,70,71,4.04,4.16
2887,769,70,71,4.04,4.16
2873,769,70,71,4.04,4.16
2857,769,70,71,4.04,4.16
2839,769,70,71,4.04,4.16
2818,769,70,71,4.04,4.16
2798,769,70,71,4.04,4.16
2776,769,70,71,4.04,4.16
2753,769,70,71,4.04,4.16
2729,769,70,71,4.04,4.16
2707,769,70,71,4.04,4.16
2685,769,70,71,4.04,4.16
2663,769,70,71,4.04,4.16
2642,769,77,71,4.04,4.16
2622,769,77,71,4.04,4.16
2603,769,77,71,4.04,4.16
2583,769,77,71,4.04,4.16
2565,769,77,71,4.04,4.16
2549,769,77,71,4.04,4.16
2532,769,77,71,4.04,4.16
2517,769,77,71,4.04,4.16
2501,769,77,71,4.04,4.16
2485,769,77,71,4.04,4.16
2470,769,77,71,4.04,4.16
2454,769,77,71,4.04,4.16
2437,769,77,71,4.04,4.16
2420,769,77,71,4.04,4.16
2402,769,77,71,4.04,4.16
2384,769,77,71,4.04,4.16
2365,769,77,71,4.04,4.16
2346,769,77,71,4.04,4.16
2328,769,77,71,4.04,4.16
2308,769,77,71,4.04,4.16
2290,769,77,71,4.04,4.16
2273,769,77,71,4.04,4.16
2257,769,77,71,4.04,4.16
2241,769,77,71,4.04,4.16
2226,769,77,71,4.04,4.16
2213,769,77,71,4.04,4.16
2201,769,77,71,4.04,4.16
2190,769,77,71,4.04,4.16
2182,769,77,71,4.04,4.16
2173,769,77,71,4.04,4.16
2167,769,77,71,4.04,4.16
2161,769,77,71,4.04,4.16
2158,769,77,71,4.04,4.16
2158,769,77,71,4.04,4.16
2158,769,77,71,4.04,4.16
2160,769,77,71,4.04,4.16
2162,769,77,71,4.04,4.16
2167,769,77,71,4.04,4.16
2172,769,77,71,4.04,4.16
2177,769,77,71,4.04,4.16
2184,769,77,71,4.04,4.16
2190,769,77,71,4.04,4.16
2195,769,77,71,4.04,4.16
2201,769,77,71,4.04,4.16
2207,769,77,71,4.04,4.16
2212,769,77,71,4.04,4.16
2217,769,77,71,4.04,4.16
2222,769,77,71,4.04,4.16
2225,769,77,71,4.04,4.16
2227,769,77,71,4.04,4.16
2229,769,77,71,4.04,4.16
2230,769,77,71,4.04,4.16
2229,769,77,71,4.04,4.16
2228,769,77,71,4.04,4.16
2225,769,77,71,4.04,4.16
2221,769,77,71,4.04,4.16
2215,769,77,71,4.04,4.16
2209,769,77,71,4.04,4.16
2201,769,77,71,4.04,4.16
2193,769,77,71,4.04,4.16
2182,769,77,71,4.04,4.16
2172,769,77,71,4.04,4.16
2161,769,77,71,4.04,4.16
2148,769,77,71,4.04,4.16
2135,769,77,71,4.04,4.16
2122,769,77,71,4.04,4.16
2108,769,77,71,4.04,4.16
2094,769,77,71,4.04,4.16
2080,769,77,71,4.04,4.16
2065,769,77,71,4.04,4.16
2051,769,77,71,4.04,4.16
2036,769,77,71,4.04,4.16
2022,769,77,71,4.04,4.16
2008,769,77,71,4.04,4.16
1994,769,77,71,4.04,4.16
1980,769,77,71,4.04,4.16
1967,769,77,71,4.04,4.16
1953,769,77,71,4.04,4.16
1940,769,77,71,4.04,4.16
1927,769,77,71,4.04,4.16
1915,769,77,71,4.04,4.16
1902,769,77,71,4.04,4.16
1889,769,77,71,4.04,4.16
1877,769,77,71,4.04,4.16
1864,769,77,71,4.04,4.16
1852,769,77,71,4.04,4.16
1841,769,77,71,4.04,4.16
1829,769,77,71,4.04,4.16
1819,769,77,71,4.04,4.16
1809,769,77,71,4.04,4.16
1799,769,77,71,4.04,4.16
1790,769,77,71,4.04,4.16
1781,769,77,71,4.04,4.16
1772,769,77,71,4.04,4.16
1763,769,77,71,4.04,4.16
1755,769,77,71,4.04,4.16
1747,769,77,71,4.04,4.16
1740,769,77,71,4.04,4.16
1733,769,77,71,4.04,4.16
1726,769,77,71,4.04,4.16
1719,769,77,71,4.04,4.16
1713,769,77,71,4.04,4.16
1708,769,77,71,4.04,4.16
1703,769,77,71,4.04,4.16
1698,769,77,71,4.04,4.16
1695,769,77,71,4.04,4.16
1691,769,77,71,4.04,4.16
1688,769,77,71,4.04,4.16
1686,769,77,71,4.04,4.16
1684,769,77,71,4.04,4.16
1682,769,77,71,4.04,4.16
1682,769,77,71,4.04,4.16
1679,769,77,71,4.04,4.16
1677,769,77,71,4.04,4.16
1677,769,77,71,4.04,4.16
1675,769,77,71,4.04,4.16
1674,769,77,71,4.04,4.16
1672,769,77,71,4.04,4.16
1670,769,77,71,4.04,4.16
1667,769,77,71,4.04,4.16
1664,769,77,71,4.04,4.16
1662,769,77,71,4.04,4.16
1657,769,77,71,4.04,4.16
1653,769,77,71,4.04,4.16
1650,769,77,71,4.04,4.16
1646,769,77,71,4.04,4.16
1644,769,77,71,4.04,4.16
1639,769,77,71,4.04,4.16
1637,769,77,71,4.04,4.16
1636,769,77,71,4.04,4.16
1635,769,77,71,4.04,4.16
1635,769,77,71,4.04,4.16
1636,769,77,71,4.04,4.16
1639,769,77,71,4.04,4.16
1642,769,77,71,4.04,4.16
1647,769,77,71,4.04,4.16
